Fullstate,State,MoreDefined
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
Arkansas,AR,Nonpartisan
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
California,CA,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Colorado,CO,Retention
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Connecticut,CT,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Delaware,DE,Appointment
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
Florida,FL,Retention
