Fullstate,State,MoreDefined
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Alaska,AK,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
Arizona,AZ,Retention
