"","Year","State","total_sentiment","Elected"
"301",2008,"NJ",2,"Appointed"
"302",2009,"NJ",2,"Appointed"
"303",2010,"NJ",-1,"Appointed"
"304",2011,"NJ",1,"Appointed"
"305",2012,"NJ",0,"Appointed"
"306",2013,"NJ",-1,"Appointed"
"307",2014,"NJ",-1,"Appointed"
"308",2015,"NJ",-2,"Appointed"
"309",2016,"NJ",0,"Appointed"
"310",2017,"NJ",1,"Appointed"
"311",2008,"NM",0,"Elected"
"312",2009,"NM",1,"Elected"
"313",2010,"NM",0,"Elected"
"314",2011,"NM",-2,"Elected"
"315",2012,"NM",-1,"Elected"
"316",2013,"NM",0,"Elected"
"317",2014,"NM",0,"Elected"
"318",2015,"NM",0,"Elected"
"319",2016,"NM",0,"Elected"
"320",2017,"NM",0,"Elected"
"321",2008,"NY",0,"Appointed"
"322",2009,"NY",2,"Appointed"
"323",2010,"NY",1,"Appointed"
"324",2011,"NY",1,"Appointed"
"325",2012,"NY",1,"Appointed"
"326",2013,"NY",0,"Appointed"
"327",2014,"NY",0,"Appointed"
"328",2015,"NY",0,"Appointed"
"329",2016,"NY",0,"Appointed"
"330",2017,"NY",-1,"Appointed"
"331",2008,"OH",0,"Elected"
"332",2009,"OH",0,"Elected"
"333",2010,"OH",0,"Elected"
"334",2011,"OH",0,"Elected"
"335",2012,"OH",0,"Elected"
"336",2013,"OH",0,"Elected"
"337",2014,"OH",0,"Elected"
"338",2015,"OH",-1,"Elected"
"339",2016,"OH",-1,"Elected"
"340",2017,"OH",0,"Elected"
"341",2008,"OK",0,"Elected"
"342",2009,"OK",0,"Elected"
"343",2010,"OK",0,"Elected"
"344",2011,"OK",-3,"Elected"
"345",2012,"OK",-5,"Elected"
"346",2013,"OK",-3,"Elected"
"347",2014,"OK",-7,"Elected"
"348",2015,"OK",-6,"Elected"
"349",2016,"OK",-9,"Elected"
"350",2017,"OK",0,"Elected"
"351",2008,"OR",0,"Elected"
"352",2009,"OR",3,"Elected"
"353",2010,"OR",0,"Elected"
"354",2011,"OR",0,"Elected"
"355",2012,"OR",1,"Elected"
"356",2013,"OR",0,"Elected"
"357",2014,"OR",0,"Elected"
"358",2015,"OR",0,"Elected"
"359",2016,"OR",0,"Elected"
"360",2017,"OR",0,"Elected"
"361",2008,"PA",0,"Elected"
"362",2009,"PA",-1,"Elected"
"363",2010,"PA",-1,"Elected"
"364",2011,"PA",0,"Elected"
"365",2012,"PA",0,"Elected"
"366",2013,"PA",-2,"Elected"
"367",2014,"PA",-2,"Elected"
"368",2015,"PA",0,"Elected"
"369",2016,"PA",0,"Elected"
"370",2017,"PA",0,"Elected"
"371",2008,"SC",1,"Appointed"
"372",2009,"SC",0,"Appointed"
"373",2010,"SC",1,"Appointed"
"374",2011,"SC",1,"Appointed"
"375",2012,"SC",1,"Appointed"
"376",2013,"SC",1,"Appointed"
"377",2014,"SC",-1,"Appointed"
"378",2015,"SC",-2,"Appointed"
"379",2016,"SC",-1,"Appointed"
"380",2017,"SC",0,"Appointed"
"381",2008,"SD",0,"Elected"
"382",2009,"SD",0,"Elected"
"383",2010,"SD",0,"Elected"
"384",2011,"SD",-1,"Elected"
"385",2012,"SD",0,"Elected"
"386",2013,"SD",-1,"Elected"
"387",2014,"SD",0,"Elected"
"388",2015,"SD",0,"Elected"
"389",2016,"SD",0,"Elected"
"390",2017,"SD",0,"Elected"
"391",2008,"TN",0,"Elected"
"392",2009,"TN",0,"Elected"
"393",2010,"TN",-1,"Elected"
"394",2011,"TN",-2,"Elected"
"395",2012,"TN",-3,"Elected"
"396",2013,"TN",0,"Elected"
"397",2014,"TN",0,"Elected"
"398",2015,"TN",1,"Elected"
"399",2016,"TN",0,"Elected"
"400",2017,"TN",0,"Elected"
"401",2008,"TX",0,"Elected"
"402",2009,"TX",-5,"Elected"
"403",2010,"TX",0,"Elected"
"404",2011,"TX",-1,"Elected"
"405",2012,"TX",0,"Elected"
"406",2013,"TX",-1,"Elected"
"407",2014,"TX",0,"Elected"
"408",2015,"TX",-5,"Elected"
"409",2016,"TX",0,"Elected"
"410",2017,"TX",-3,"Elected"
"411",2008,"UT",0,"Elected"
"412",2009,"UT",0,"Elected"
"413",2010,"UT",0,"Elected"
"414",2011,"UT",0,"Elected"
"415",2012,"UT",0,"Elected"
"416",2013,"UT",0,"Elected"
"417",2014,"UT",0,"Elected"
"418",2015,"UT",1,"Elected"
"419",2016,"UT",0,"Elected"
"420",2017,"UT",0,"Elected"
"421",2008,"VA",0,"Appointed"
"422",2009,"VA",0,"Appointed"
"423",2010,"VA",-1,"Appointed"
"424",2011,"VA",-1,"Appointed"
"425",2012,"VA",0,"Appointed"
"426",2013,"VA",0,"Appointed"
"427",2014,"VA",0,"Appointed"
"428",2015,"VA",1,"Appointed"
"429",2016,"VA",0,"Appointed"
"430",2017,"VA",0,"Appointed"
"431",2008,"WA",0,"Elected"
"432",2009,"WA",0,"Elected"
"433",2010,"WA",0,"Elected"
"434",2011,"WA",0,"Elected"
"435",2012,"WA",0,"Elected"
"436",2013,"WA",-1,"Elected"
"437",2014,"WA",-1,"Elected"
"438",2015,"WA",0,"Elected"
"439",2016,"WA",-2,"Elected"
"440",2017,"WA",0,"Elected"
"441",2008,"WI",0,"Elected"
"442",2009,"WI",0,"Elected"
"443",2010,"WI",0,"Elected"
"444",2011,"WI",0,"Elected"
"445",2012,"WI",-1,"Elected"
"446",2013,"WI",-1,"Elected"
"447",2014,"WI",-1,"Elected"
"448",2015,"WI",0,"Elected"
"449",2016,"WI",1,"Elected"
"450",2017,"WI",0,"Elected"
"451",2008,"WV",0,"Elected"
"452",2009,"WV",0,"Elected"
"453",2010,"WV",-1,"Elected"
"454",2011,"WV",-1,"Elected"
"455",2012,"WV",-1,"Elected"
"456",2013,"WV",0,"Elected"
"457",2014,"WV",0,"Elected"
"458",2015,"WV",0,"Elected"
"459",2016,"WV",0,"Elected"
"460",2017,"WV",0,"Elected"
"461",2008,"WY",0,"Elected"
"462",2009,"WY",0,"Elected"
"463",2010,"WY",0,"Elected"
"464",2011,"WY",0,"Elected"
"465",2012,"WY",0,"Elected"
"466",2013,"WY",0,"Elected"
"467",2014,"WY",0,"Elected"
"468",2015,"WY",0,"Elected"
"469",2016,"WY",0,"Elected"
"470",2017,"WY",0,"Elected"
